month,customers,campaigns,spend,impressions,clicks,conversions,revenue,ctr,conversion_rate,cac,roi,revenue_per_customer,aov
2025-01,865,1,18979.19,8697209,450074,54147,6926173.45,0.05174924507390819,0.12030688286815057,0.35051230908452913,363.9351447559143,8007.136936416186,127.9142602544924
2025-02,959,1,28292.52,9289678,378822,37112,4731783.42,0.04077880847969111,0.09796685514568848,0.7623550334123733,166.2450322558754,4934.080729927007,127.50009215348135
2025-03,1651,2,63861.4,18118609,425637,27429,3545191.33,0.02349170402650667,0.06444223598982231,2.328243829523497,54.5138366838184,2147.2994124772868,129.24974771227534
2025-04,866,1,20971.48,8597196,300715,27693,3515891.04,0.03497826500640441,0.09209051759972067,0.7572845123316362,166.6510689755802,4059.9203695150118,126.95955801104972
2025-05,889,1,12188.95,8683214,652458,85586,10937783.88,0.07514014971875621,0.1311747269556048,0.14241756829387986,896.3524282239242,12303.468931383579,127.79875073025963
2025-06,899,1,23288.96,8995916,469805,56688,7280129.29,0.0522242537613735,0.12066282819467651,0.41082698278295227,311.6000169178873,8098.030355951057,128.42452176827547
2025-07,948,1,33740.39,9576028,394869,39667,5053769.05,0.041235155118594054,0.10045610063084212,0.8505909194040386,148.78395477942016,5330.980010548523,127.40487180779994
2025-08,869,1,35953.04,8779874,257434,19613,2568944.63,0.02932092191755827,0.07618651770939347,1.83312292866976,70.45277923647068,2956.2078596087454,130.98172793555295
2025-09,905,1,30215.02,8918018,161092,7642,985575.88,0.01806365495113376,0.0474387306632235,3.953810520806072,31.618739951189838,1089.0341215469614,128.9683171944517
2025-10,879,1,23615.93,8766216,308892,28624,3660215.63,0.035236640301813234,0.0926666925656864,0.8250394773616546,153.98926487332912,4164.067838452787,127.87226208775851
2025-11,952,1,15668.59,9580070,727617,96400,12504607.36,0.07595111517974294,0.13248728383201602,0.1625372406639004,797.0684515964742,13135.091764705881,129.7158439834025
