campaign_id,campaign_channel,campaign_date,customers,campaigns,spend,impressions,clicks,conversions,revenue,ctr,conversion_rate,cac,roi,revenue_per_customer,aov
CMP-001,Email,2025-01-15,865,1,18979.19,8697209,450074,54147,6926173.45,0.05174924507390819,0.12030688286815057,0.35051230908452913,363.9351447559143,8007.136936416186,127.9142602544924
CMP-002,Paid Search,2025-02-10,959,1,28292.52,9289678,378822,37112,4731783.42,0.04077880847969111,0.09796685514568848,0.7623550334123733,166.2450322558754,4934.080729927007,127.50009215348135
CMP-003,Social Media,2025-03-05,917,1,34438.73,9169623,265617,19955,2587189.91,0.028967057860503097,0.07512696852987573,1.7258195940866952,74.1244285140596,2821.3630425299893,129.6512107241293
CMP-004,Display,2025-03-28,904,1,29422.67,8948986,160020,7474,958001.42,0.017881355496589223,0.04670666166729159,3.9366697886004816,31.559975692212845,1059.7360840707966,128.17787262510035
CMP-005,Affiliate,2025-04-18,866,1,20971.48,8597196,300715,27693,3515891.04,0.03497826500640441,0.09209051759972067,0.7572845123316362,166.6510689755802,4059.9203695150118,126.95955801104972
CMP-006,SMS,2025-05-12,889,1,12188.95,8683214,652458,85586,10937783.88,0.07514014971875621,0.1311747269556048,0.14241756829387986,896.3524282239242,12303.468931383579,127.79875073025963
CMP-007,Email,2025-06-06,899,1,23288.96,8995916,469805,56688,7280129.29,0.0522242537613735,0.12066282819467651,0.41082698278295227,311.6000169178873,8098.030355951057,128.42452176827547
CMP-008,Paid Search,2025-07-14,948,1,33740.39,9576028,394869,39667,5053769.05,0.041235155118594054,0.10045610063084212,0.8505909194040386,148.78395477942016,5330.980010548523,127.40487180779994
CMP-009,Social Media,2025-08-08,869,1,35953.04,8779874,257434,19613,2568944.63,0.02932092191755827,0.07618651770939347,1.83312292866976,70.45277923647068,2956.2078596087454,130.98172793555295
CMP-010,Display,2025-09-16,905,1,30215.02,8918018,161092,7642,985575.88,0.01806365495113376,0.0474387306632235,3.953810520806072,31.618739951189838,1089.0341215469614,128.9683171944517
CMP-011,Affiliate,2025-10-10,879,1,23615.93,8766216,308892,28624,3660215.63,0.035236640301813234,0.0926666925656864,0.8250394773616546,153.98926487332912,4164.067838452787,127.87226208775851
CMP-012,SMS,2025-11-05,952,1,15668.59,9580070,727617,96400,12504607.36,0.07595111517974294,0.13248728383201602,0.1625372406639004,797.0684515964742,13135.091764705881,129.7158439834025
